PMID,sent_id,year,journal,title,doi,text,gene,trait,ontology_id,ontology_type,confidence,evidence_code,source_db
38930586,41771591,2024,Microorganisms,The Spread of Southern Rice Black-Streaked Dwarf Virus Was Not Caused by Biological Changes in Vector Sogatella furcifera.,,"In fact, Myint et al. found that WBPH1989 is virulent to a rice variety carrying a resistant gene Wbph1 but avirulent to another variety carrying a resistant gene Wbph2, whereas WBPH1999 can feed on both resistant varieties, and reached the significant conclusion that S. furcifera broke Wbph2 between 1989 and 1999.",,,,,,,
39091314,42358218,2024,Frontiers in plant science,Gamma-aminobutyric acid treatment promotes resistance against Sogatella furcifera in rice.,,"We investigated the expression pattern of PAL, PR1, PR2, PR3, PR4A, PR8A, and PR8B in GABA-supplemented rice plants challenged with WBPH stress.",,,,,,,
38891303,41608171,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,,"The loss-of-function or antisense inhibition mutants of the rice hydrogen peroxide lyase gene (OsHPL3) exhibited reduced levels of cis-3-hexen-1-ol and cis-3-hexenal, resulting in decreased resistance to BPH but increased resistance against WBPH, and also increased attraction to the parasitoid A. nilaparvatae.",,,,,,,
39091314,42358233,2024,Frontiers in plant science,Gamma-aminobutyric acid treatment promotes resistance against Sogatella furcifera in rice.,,"Overall, these results indicate that GABA application induces ABA accumulation, ultimately resulting in water conservation that helps to promote stress resistance.To understand the mechanism of WBPH-induced stress inhibition by GABA application in rice plants, we observed the activity of antioxidant enzymes.",,,,,,,
39654672,43312856,2024,Frontiers in microbiology,Screening of the highly pathogenic Beauveria bassiana BEdy1 against Sogatella furcifera and exploration of its infection mode.,,"The WBPH directly pierces and sucks the phloem sap of rice plants, and excessive feeding can lead to slowed plant growth, reduced seed setting rates, and even plant death, severely impacting rice yields.",,,,,,,
37762286,37771520,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,It was found that both BPH and WBPH exhibit counter-defense mechanisms in response to the various rice genes that are regulated differently during insect infestation.,,,,,,,
37762286,37771416,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"However, frequent breakdown of BPH/WBPH resistance in rice has also been reported.",,,,,,,
37762286,37771513,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"Additionally, it highlights some differences in the response of the two pests, BPH and WBPH, when fed on genetically similar but differentially resistant hosts.To identify differences and commonalities in the defense pathways invoked in rice against the two planthoppers, BPH and WBPH, results from our earlier study identified various pathways that were triggered or suppressed in rice genotypes when challenged with BPH or WBPH.",,,,,,,
37834016,38037364,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"These findings indicated that OsRLK7-1 plays a key negative regulatory role in defending rice plants against BPH and WBPH.RLKs have been reported to play an important role in plant defenses, including perceiving herbivore-related signals and influencing the activation of MPK cascades.",,,,,,,
37834016,38037330,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"However, the infestation of gravid females of BPH or WBPH slightly suppressed or did not induce the expression of OsRLK7-1 (Figure 2b,c).Rice lines with the knockout of OsRLK7-1 (ko-rlk lines) were developed using CRISPR/Cas9-mediated gene editing to clarify the function of OsRLK7-1 in herbivore-induced rice defense responses.",,,,,,,
37762286,37771598,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,Numerous WBPH and BPH resistance genes have been identified in rice.,,,,,,,
38136986,39165300,2023,Genes,The Genetic Diversity of White-Backed Planthoppers (Sogatella furcifera) between Myanmar and Yunnan Province of China.,,"These samples were brought back to the laboratory and under controlled environmental conditions with a constant temperature of 27 +- 1  C, relative humidity maintained at 70% +- 10%, and a light-dark cycle alternating between 14 h of light and 10 h of darkness, the WBPH population was sustained using the TN1 rice variety.",,,,,,,
37762286,37771551,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"In contrast, in WBPH, the expression level of another member of the P450 family of genes was not highly upregulated but showed an expression pattern similar to that observed in BPH (i.e., upregulation while feeding on the resistant host) (Figure 5 and Figure 6).In general, as a response to infestation by BPH, rice plants that harbor resistance genes positively regulate pathways involving phytohormone signaling that, in turn, trigger a series of downstream defensive reactions, including the release of volatile compounds to repel BPH and attract its natural enemies.",,,,,,,
37762286,37771613,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"The results of this study, when considered in the context of the previous study relating to expression profiles of the defense genes in the corresponding RILs following infestation with either BPH or WBPH, present a holistic picture of the mutual interactions between the planthoppers and rice.",,,,,,,
37762286,37771414,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"In this context, several BPH and WBPH resistance genes have been identified and mapped in rice over the past few decades.At least 43 major resistance genes and 72 QTLs conferring resistance to BPH and 19 major genes and 75 QTLs conferring resistance to WBPH are reported.",,,,,,,
37834016,38037376,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"Therefore, the increase in planthopper-induced JA, JA-Ile, and ABA levels in ko-rlk plants (Figure 6) might be related to the regulation of OsRLK7-1 on these MPK cascades and WRKY genes.The JA- and ABA-mediated signaling pathways play a central role in regulating the resistance of rice to BPH and WBPH.",,,,,,,
37762286,37771426,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"WBPH and BPH were allowed to feed on specific RILs as stated earlier (i.e., SS, RR, RS, and SR lines) to explore and identify mechanisms of interactions between these planthoppers and their rice hosts.",,,,,,,
37762286,37771602,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"Subsequently, results from such studies could be used for developing rice improvement strategies to achieve durable resistance against different planthopper species.The current study is the first report emphasizing the expression of genes in WBPH and BPH in response to feeding on differentially resistant RILs (F14) obtained from a cross between TN1 x RP2068.",,,,,,,
37629184,37271421,2023,International journal of molecular sciences,SET Domain Group 703 Regulates Planthopper Resistance by Suppressing the Expression of Defense-Related Genes.,,"Thus, the above-mentioned studies demonstrate that rice possesses a dual-layered immune system (ETI or PTI) that facilitates effective defense against pests, resembling the disease resistance mechanisms observed in plants.While several BPH resistance genes have been cloned, no resistance genes against SBPH or WBPH have been identified.",,,,,,,
37762286,37771382,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1,,,,,,,
37834016,38037329,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"However, the infestation of gravid females of BPH or WBPH slightly suppressed or did not induce the expression of OsRLK7-1 (Figure 2b,c).The qRT-PCR revealed that mechanical wounding quickly induced the expression of OsRLK7-1 in rice (Figure 2a).",,,,,,,
37958711,38505957,2023,International journal of molecular sciences,Four-Chlorophenoxyacetic Acid Treatment Induces the Defense Resistance of Rice to White-Backed Planthopper Sogatella furcifera.,,"The rice actin gene OsACTIN (TIGR ID: Os03g50885) was used as an internal standard to normalize the cDNA concentrations.Plants were randomly assigned to 4-CPA, 4-CPA + WBPH, and control groups as stated above.",,,,,,,
37762286,37771383,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,BPH (brown planthopper) and WBPH (white backed planthopper) are significant rice pests that often co-occur as sympatric species and cause substantial yield loss.,,,,,,,
37373210,36272454,2023,International journal of molecular sciences,Molecular Research in Rice.,,"This study led to the discovery of OsCRN as a negative regulator of salt tolerance, a finding which can be used to develop salt-tolerant varieties in rice breeding programs.Both white-backed planthoppers (WBPHs) and brown plant hoppers (BPH) cause serious damage to rice crop, particularly in countries in Asia.",,,,,,,
37762286,37771417,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"The underlying mechanisms responsible could be a result or a combination of the emergence of new virulence genes or the modification of effectors in BPH, the dynamic nature of the endosymbionts present in these insects, or selective alterations in BPH metabolism.In our earlier study, rice recombinant inbred lines (RILs) (F14) derived from a cross between the rice breeding line RP2068-18-3-5 (resistant to both BPH and WBPH) and TN1 (susceptible to both the planthoppers) were analyzed after insect infestation.",,,,,,,
37958711,38505926,2023,International journal of molecular sciences,Four-Chlorophenoxyacetic Acid Treatment Induces the Defense Resistance of Rice to White-Backed Planthopper Sogatella furcifera.,,"Moreover, given that the polymers induced by 4-CPA can be degraded by WBPH nymphs, while the polymers induced by 4-FPA are not degraded, these findings also open a pathway for molecule structure design of phenoxycarboxylic compounds as chemical elicitors.The rice genotype used in this study was Xiushui 110, which is susceptible to WBPH.",,,,,,,
37404545,36406429,2023,Frontiers in plant science,Advances of herbivore-secreted elicitors and effectors in plant-insect interactions.,,"A functional study showed that BPH30 enhances cellulose and hemicellulose synthesis, making the cell walls stiffer and sclerenchyma thicker to prevent stylets from penetrating the leaf sheath tissue, thereby conferring broad resistance to BPH and WBPH in rice.",,,,,,,
37762286,37771405,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"While there is considerable information on how plants interact with insect pests and the various strategies they adopt to overcome herbivore attacks, a good understanding of how insects interact and especially how BPH and WBPH deploy their defenses to overcome resistant rice varieties is scarce.Conventional, biological, and chemical control, as well as microbial insecticide-based control strategies, have been commonly used for managing BPH and WBPH with varying levels of success.",,,,,,,
37629184,37271415,2023,International journal of molecular sciences,SET Domain Group 703 Regulates Planthopper Resistance by Suppressing the Expression of Defense-Related Genes.,,"Although these three kinds of planthopper are all delphacid piercing-sucking pests, some studies found that BPH- and WBPH-susceptible varieties displayed resistance to SBPH, and few genes derived from a single resistance resource controlling broad spectrum resistance to the three rice planthoppers shared the same resistance locus.",,,,,,,
37731986,37646124,2023,Frontiers in plant science,Available cloned genes and markers for genetic improvement of biotic stress resistance in rice.,,"For example, both GLH and GRH resistance was obtained by pyramiding of two GRH resistance genes, GRH2 and GRH4; enhanced resistance against multiple herbivore species, including zig-zag leafhopper (Recilia dorsalis), BPH, and WBPH, was shown by pyramiding of two to three GRH resistance loci (GRH2 and GRH4-6).To date, 12 potential genetic factors (Gm1-Gm12) conferring resistance against Asian rice gall midges (O. oryzae) have been reported.",,,,,,,
37762286,37771518,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"Further, this complements our earlier findings, as the same insect material and RILs (BPH or WBPH infested) used in that analysis on the differential gene expression of rice hosts were utilized in the current study as well.Employing omics tools, we investigated molecular defense pathways triggered or suppressed in BPH and WBPH when feeding on rice lines resistant to BPH and/or WBPH in relation to those feeding on susceptible lines (see Section 4 for details).",,,,,,,
37762286,37771466,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"In Group 3, the enriched terms with the highest number of DEGs were protein processing in the endoplasmic reticulum, longevity signaling pathway, and amino sugar and nucleotide sugar metabolism.Based on earlier stated criteria (see Materials and Methods) and thresholds (log2 fold >2.5 and padj > 0.05), ten candidate genes (Table S2) were selected to validate their expression levels and also to compare gene expression profiles of WBPH insects fed on SS (TR24SS) and RR (TR94RR) rice lines.",,,,,,,
37762286,37771430,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"Furthermore, while augmenting our understanding of the interaction of BPH and WBPH with their rice hosts, these results also provide valuable information for developing durable strategies to control and manage these significant rice pests.Nine WBPH libraries were constructed and sequenced (RNA-Seq), and the number of raw reads generated from each library ranged from 21.4 to 26.8 million and the clean reads ranged from 20.9 million to 26.3 million (Table 1).",,,,,,,
37731986,37646122,2023,Frontiers in plant science,Available cloned genes and markers for genetic improvement of biotic stress resistance in rice.,,The high resistance locus designated as Bph38 to both BPH and WBPH was identified from O. rufipogon and was fine-mapped to a 79-kb region on Chr 4. identified a major QTL (qGRH4.2=GRH6) conferring GRH resistance from a wild species (Oryza nivara_IRGC105715) and fine-mapped the locus to ~31-kb region on Chr 4.,,,,,,,
37762286,37771392,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"Moreover, identifying insect genes and pathways responsible for countering host defense would augment our understanding of BPH and WBPH interaction with their rice hosts and enable us to develop lasting strategies to control these significant pests.Plant-insect interaction is a complex evolutionary system where the arms race between two organisms constantly forces them to co-evolve multiple defense responses and develop strategies for their respective survival.",,,,,,,
36952539,34624200,2023,Plant biotechnology journal,"Poaceae-specific β-1,3;1,4-d-glucans link jasmonate signalling to OsLecRK1-mediated defence response during rice-brown planthopper interactions.",,"Like Bph30, the OsCslF6-overexpressing lines are also resistant to WBPH (Figure 2a), indicating that fortifying the sclerenchyma or vascular bundle cells produces broad-spectrum pest resistance in rice.Insect feeding or pathogen infection disrupts cell wall integrity; this mechanical damage is perceived by the plasma membrane-localized pattern-recognition receptors (PRRs; Reymond, ).",,,,,,,
37834016,38037363,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"These changes increased levels of planthopper-induced phenolamides in plants, which in turn improved the resistance of rice to BPH and WBPH.",,,,,,,
37834016,38037297,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"Here, we found that the expression of a rice gene, OsRLK7-1, was induced by mechanical wounding, but was slightly suppressed by the infestation of gravid females of brown planthopper (BPH, Nilaparvata lugens) or white-backed planthopper (WBPH, Sogatella furcifera).",,,,,,,
38136986,39165282,2023,Genes,The Genetic Diversity of White-Backed Planthoppers (Sogatella furcifera) between Myanmar and Yunnan Province of China.,,"Additionally, by transmitting plant viruses, such as the Southern rice black-streaked dwarf virus, the WBPH further exacerbates its harm to crops.",,,,,,,
37372105,36246508,2023,Biology,Infestation by the Piercing-Sucking Herbivore Nilaparvata lugens Systemically Triggers JA- and SA-Dependent Defense Responses in Rice.,,"These results suggest that marker genes are potent molecular tools for elucidating the mechanisms underlying herbivore-induced plant defenses.Rice (Oryza sativa), one of the most important food crops in the world, suffers from many insect pests and pathogens, including the brown planthopper (BPH), Nilaparvata lugens; white-backed planthopper (WBPH, Sogatella furcifera); striped stem borer (SSB, Chilo suppressalis); and leaf folder (LF, Cnaphalocrocis medinalis).",,,,,,,
37779725,37859671,2023,Frontiers in microbiology,Using Wolbachia to control rice planthopper populations: progress and challenges.,,"In summary, to develop alternative vector-control strategies, much remains to be learned concerning the mechanisms of Wolbachia-mediated pathogen inhibition.The small brown planthopper (Laodelphax striatellus; SBPH), brown planthopper (Nilaparvata lugens; BPH), and white-backed planthopper (Sogatella furcifera; WBPH) are the three serious and destructive pests of rice that directly cause 20 to 40% of crop loss globally each year.",,,,,,,
37834016,38037400,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,,"All plants were kept in a growth chamber at 28 +- 2  C and 80 +- 10% humidity under a 14 h/10 h light/dark photoperiod, light intensity, 5500 +- 200 Lx.BPH and WBPH were collected from rice fields in Hangzhou, China, and reared on rice seedlings of a susceptible rice variety, Taichong Native 1, in an artificial climate chamber at 26 +- 2  C and 60 +- 10% humidity under a 14 h/10 h light/dark photoperiod, light intensity, 4500 +- 200 Lx.For mechanical wounding, the lower parts of individual plant shoots were punctured 200 times using a No.",,,,,,,
37958711,38505932,2023,International journal of molecular sciences,Four-Chlorophenoxyacetic Acid Treatment Induces the Defense Resistance of Rice to White-Backed Planthopper Sogatella furcifera.,,"Original WBPH colonies were collected from rice fields in Hangzhou, China, and grown on TN1 rice seedlings; a WBPH susceptible variety.Four-CPA (purity, 99.5%) and 4-CP (purity, 99.5%) were purchased from Aladdin (Shanghai, China).",,,,,,,
37762286,37771606,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"In addition, this study enables a more profound exploration of the selective breeding and sustainable control strategies that can be adopted for developing durable resistance against these pests.Though BPH and WBPH are considered sympatric species, under field conditions, WBPH infestation usually precedes that by BPH with a period of overlap in which rice plants are co-infested by both WBPH and BPH.",,,,,,,
37762286,37771386,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,This study used specific recombinant inbred lines (RILs) derived from a cross between rice varieties RP2068-18-3-5 (BPH- and WBPH-resistant) and TN1 (BPH- and WBPH-susceptible) to investigate the mechanisms of interaction between these planthoppers and their rice hosts.,,,,,,,
36952539,34624204,2023,Plant biotechnology journal,"Poaceae-specific β-1,3;1,4-d-glucans link jasmonate signalling to OsLecRK1-mediated defence response during rice-brown planthopper interactions.",,"Moreover, genetic analysis showed that deletion of OsLecRK1 and OsLecRK3 abolished the MLG-mediated BPH and WBPH resistance phenotypes of the OsCslF6-overexpressors (Figure 6e), suggesting that OsLecRK1 signalling is indeed downstream of MLG biosynthesis during the rice-planthopper interaction.",,,,,,,
37762286,37771415,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,,"This information, coupled with the availability of linked molecular markers for many of the BPH and WBPH resistance genes, has led to a surge in molecular breeding in rice aimed at pyramiding R genes to provide durable resistance against BPH and WBPH.",,,,,,,
37731986,37646119,2023,Frontiers in plant science,Available cloned genes and markers for genetic improvement of biotic stress resistance in rice.,,"In addition, pyramiding effects of two to three BPH gene combinations such as BPH14 + BPH15, BPH6 + BPH12, and BPH13 + BPH14 + BPH15 were observed in different backgrounds or breeding programs.A handful of genetic factors governing resistance against planthoppers, including small brown planthopper (SBPH: Laodelphax striatellus), white-backed planthopper (WBPH: Sogatella furcifera), green leafhopper (GLH: Nephotettix virescens), and green rice leafhopper (GRH: Nephotettix cincticeps), have been identified from diverse germplasms and are well summarized in a few review papers.",,,,,,,
35897828,29804126,2022,International journal of molecular sciences,Sogatella furcifera Saliva Mucin-like Protein Is Required for Feeding and Induces Rice Defences.,,"The survival rate tests on rice plants and on the artificial diet were both repeated five times.To assess the effect of SFMLP knockdown on WBPH feeding, the 5th instar nymphs at 1 day after the injection of SFMLP or GFP dsRNA were starved for 1 h, and one nymph was transferred into a pre-weighed small Parafilm bag (4 x 4 cm), which was affixed to the rice stems.",,,,,,,
36499722,32427833,2022,International journal of molecular sciences,Genome and Transcriptome-Wide Analysis of OsWRKY and OsNAC Gene Families in Oryza sativa and Their Response to White-Backed Planthopper Infestation.,,"The pipeline included the following steps: (1) using FastQC (, accessed on 15 November 2022) for the quality check; (2) using Trim Galore (Trim Galore) for data trimming; (3) using HISAT2 for indexing and alignment to reference genome; (4) read count quantification using Feature Count (subread_v2.0.2); and (5) using DESeq2 in the R program for differential gene expression analysis.In conclusion, rice's OsWRKY and OsNAC gene families were comprehensively analyzed to reveal gene structure, chromosomal allocations, gene duplications, phylogenetic relationships, conserved amino acid residues, and expression profiles during WBPH infestation.",,,,,,,
35886780,29695405,2022,Insects,"Combined Effects of Soil Silicon and Host Plant Resistance on Planthoppers, Blast and Bacterial Blight in Tropical Rice.",,"Nitrogen has been shown to enhance rice tolerance against herbivore damage, but the effect is only apparent for BPH, where the rice host has at least moderate resistance.In our experiments, resistance reduced the fitness of BPH nymphs (Figure 2, Figure 3), WBPH nymphs (Tables S3 and S6), and GLH nymphs (Table S4).",,,,,,,
36499068,32413846,2022,International journal of molecular sciences,The Role of Exogenous Gibberellic Acid and Methyl Jasmonate against White-Backed Planthopper (Sogatella furcifera) Stress in Rice (Oryza sativa L.).,,"Our study suggests that giving exogenous GA treatment to WBPH-infested plants can reduce these effects, which is in line with previous reports that applying exogenous GA can reduce the intracellular ROS under stress conditions.The WBPH infestation greatly reduced the yield of rice plants by up to 40% by inserting viral material into the plant body, directly feeding on phloem sap, causing wilting or a loss of green color, and in severe cases causing plant death.",,,,,,,
35897828,29804158,2022,International journal of molecular sciences,Sogatella furcifera Saliva Mucin-like Protein Is Required for Feeding and Induces Rice Defences.,,"The experiment was replicated 25 times.To quantify the transcript levels of phytohormone-related genes in leaf sheaths of transgenic and wild-type rice plants infested by WBPH, 1-month-old rice plants were planted in plastic pots (8 cm diameter and 27 cm height).",,,,,,,
35886780,29695316,2022,Insects,"Combined Effects of Soil Silicon and Host Plant Resistance on Planthoppers, Blast and Bacterial Blight in Tropical Rice.",,"After drying, the plants were weighted on a precision balance to estimate dry weight.Plant growth rate and herbivore no-choice experiments conducted with BPH, WBPH, and GLH in the Philippines were analyzed separately using univariate general linear models (GLM) with plant dry weight, nymph survival (arcsine transformed), development to adults (arcsine transformed), nymph weight, the number of eggs per plant and plant weight loss as dependent variables and rice variety, nitrogen level and silicon level as independent variables.",,,,,,,
35323548,27507993,2022,Insects,Interactions between Rice Resistance to Planthoppers and Honeydew-Related Egg Parasitism under Varying Levels of Nitrogenous Fertilizer.,,"In the present study, we examine interactions between rice resistance to planthoppers (Nilaparvata lugens (Stal) (BPH) and Sogatella furcifera (Horvath) (WBPH)) and a leafhopper (Nephotettix virescens Distant (GLH)) and mortality due to egg parasitoids under varying soil nitrogen regimes.",,,,,,,
38468808,33231648,2022,Frontiers in insect science,Polymorphisms in the hypervariable control region of the mitochondrial DNA differentiate BPH populations.,,"Other mitochondrial genes targeted for similar studies are nad1 (NADH dehydrogenase 1) and cox2.The mitogenomes of all the three rice planthoppers, BPH, White backed planthopper (WBPH; Sogatella furcifera) and Small brown planthopper (SBPH; Laodelphax striatellus), have been sequenced.",,,,,,,
36499636,32426488,2022,International journal of molecular sciences,Enhancing the Expression of the OsF3H Gene in Oryza sativa Leads to the Regulation of Multiple Biosynthetic Pathways and Transcriptomic Changes That Influence Insect Resistance.,,"The present results suggest that rice MPKK10.2 positively regulates WBPH resistance in OxF3H plants, as reported previously in rice in bacterial resistance and drought tolerance via phosphorylating and activating two distinct MAPKs, MPK6 and MPK3.",,,,,,,
