PMID,year,journal,title,sentence_count,species_context,genes,themes
40169387,2025,The New phytologist,The MYC2-JAMYB transcriptional cascade regulates rice resistance to brown planthoppers.,2,BPH,JAMYB,激素、氧化还原与信号调控;生长防御权衡与农艺环境
39821341,2025,Pest management science,The continuing significance of chiral agrochemicals.,1,BPH;SBPH,,
40214427,2025,Cells,Decoding Plant Ribosomal Proteins: Multitasking Players in Cellular Games.,1,BPH,Os03g10930.2;OsRPL15;OsRPL18a;OsRPL22;OsRPL36.2;OsRPL38;OsRPL51;OsRPS25a;OsRPS5;OsRPS5a;OsRPS9.2,
39964588,2025,"Rice (New York, N.Y.)",Jasmonic Acid (JA) Signaling Pathway in Rice Defense Against Chilo suppressalis Infestation.,1,BPH,Bph14,激素、氧化还原与信号调控
39694421,2025,Insect biochemistry and molecular biology,Expansion of three types of transposon superfamilies within 25 Mya lead to large genome size of a rice insect pest.,1,BPH;SBPH;WBPH,,生长防御权衡与农艺环境
39846346,2025,Journal of agricultural and food chemistry,Ethylene-Mediated Production and Emission of Limonene Influence Brown Planthopper Preference for Rice Plants.,1,BPH,OsEIL1-mediated,激素、氧化还原与信号调控
39747314,2025,Scientific reports,Effect of isolated compounds from Combretum trifoliatum on toxicity and detoxification enzymes in Nilaparvata lugens.,1,BPH,,生长防御权衡与农艺环境
38562566,2024,Frontiers in plant science,Combined miRNA and mRNA sequencing reveals the defensive strategies of resistant YHY15 rice against differentially virulent brown planthoppers.,54,BPH,Bph15;Bph14;Bph6;Bph29;Bph9;OsMYB30;Bph3;Bph6G,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38988632,2024,Frontiers in plant science,A key ABA biosynthetic gene OsNCED3 is a positive regulator in resistance to Nilaparvata lugens in Oryza sativa.,30,BPH,OsNCED3;OsNCED3-OE;OsAOS1;OsMYC2;OsKSL4;OsbZIP23;Osbph6;OsABA8ox3,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38576786,2024,Frontiers in plant science,Genome-wide association study and genomic prediction for resistance to brown planthopper in rice.,24,BPH,Bph1;Bph2,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39340817,2024,Plant biotechnology journal,Limonene enhances rice plant resistance to a piercing-sucking herbivore and rice pathogens.,23,BPH,OsTPS19;OsTPS20;Os04g27190;Os04g27340,次生代谢与挥发性防御;生长防御权衡与农艺环境
38612510,2024,International journal of molecular sciences,Silencing an ATP-Dependent Caseinolytic Protease Proteolytic Subunit Gene Enhances the Resistance of Rice to Nilaparvata lugens.,20,BPH,OsClpP6;OsClpP6-mediated;Os03g0411500,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38337906,2024,"Plants (Basel, Switzerland)",Defense Regulatory Network Associated with circRNA in Rice in Response to Brown Planthopper Infestation.,20,BPH,OsmiR396;Bph3;Os01g42710;Os02g06450;Os05g30870;OsRLCK185;Os02g36510;Os04g57050;Os11g04720;OsEIL5;OsEIL6;OsRR9,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
38520013,2024,BMC biology,OsmiR319-OsPCF5 modulate resistance to brown planthopper in rice through association with MYB proteins.,18,BPH,OsmiR319-OsPCF5;OsmiR319;OsPCF5;OsMIR319a;OsMIR319b;OsMYB22;OsmiR319b;OsMYB30;OsPAL6;OsPAL8;OsmiR319-OsPCF5-OsMYB;OsF3H;OsmiR396;OsF3;OsmiR319a;OsMYB30C;Bph1;Bph3;Bph30;Bph9,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39555011,2024,Breeding science,Substitution mapping and characterization of brown planthopper resistance genes from traditional rice cultivar 'Rathu Heenati' (Oryza sativa L.).,18,BPH,Bph17;Bph3;Bph25;Bph29;Bph32;Bph4;OsLecRK;Bph1;Bph45,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38891303,2024,"Plants (Basel, Switzerland)",OsRCI-1-Mediated GLVs Enhance Rice Resistance to Brown Planthoppers.,17,BPH;WBPH,OsRCI-1-Mediated;OsRCI-1;OsHPL3;OsPLDa4;OsLOX1;OsRCI-1-overexpressed,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
39558244,2024,BMC plant biology,TMT-based quantitative proteomics analysis of defense responses induced by the Bph3 gene following brown planthopper infection in rice.,17,BPH,Bph3;OsERF3;OsMAPK,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39400920,2024,"Plant, cell & environment",The Threat of the Fall Armyworm to Asian Rice Production Is Amplified by the Brown Planthopper.,15,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境
38625904,2024,PloS one,Fine mapping and breeding application of two brown planthopper resistance genes derived from landrace rice.,14,BPH,Bph3;Bph46;OsLecRK1-OsLecRK3;Bph1;Bph2;Bph27;Bph29;Bph36;Bph14;Bph15,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
38911983,2024,Frontiers in plant science,"Integration of molecular breeding and multi-resistance screening for developing a promising restorer line Guihui5501 with heavy grain, good grain quality, and endurance to biotic and abiotic stresses.",13,BPH,Bph2;Bph17;Bph3,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
39341852,2024,Scientific reports,A time-course transcriptomic analysis reveals the key responses of a resistant rice cultivar to brown planthopper infestation.,7,BPH,OsREM4.1,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38921131,2024,Insects,Heterosis for Interactions between Insect Herbivores and 3-Line Hybrid Rice under Low and High Soil Nitrogen Conditions.,6,BPH;WBPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
39769161,2024,International journal of molecular sciences,"Insight into Rice Resistance to the Brown Planthopper: Gene Cloning, Functional Analysis, and Breeding Applications.",5,BPH,,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
39684676,2024,International journal of molecular sciences,Recent Advances in Gene Mining and Hormonal Mechanism for Brown Planthopper Resistance in Rice.,5,BPH,,次生代谢与挥发性防御;遗传定位、克隆与抗源部署
38661024,2024,Pest management science,Colonization of Piriformospora indica enhances rice resistance against the brown planthopper Nilaparvata lugens.,4,BPH,,
39245936,2024,Plant communications,Rice E3 ubiquitin ligases: From key modulators of host immunity to potential breeding applications.,4,BPH,OsJMJ715;OsEBF1;OsEBF2;OsATL32;OsCERK1-interacting-E3;OsCIE1;OsPUB15;OsEIL1;OsNPR1;OsCOI1,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作
39045218,2024,Frontiers in physiology,Role of nuclear protein Akirin in the modulation of female reproduction in Nilaparvata lugens (Hemiptera: Delphacidae).,4,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
39406243,2024,Current biology : CB,Rapid intracellular acidification is a plant defense response countered by the brown planthopper.,4,BPH,,宿主免疫、肽信号与昆虫效应子;韧皮部取食界面与结构防御
39590466,2024,Insects,Identification and Functional Analysis of Three NlCstF Genes in Nilaparvata lugens.,4,BPH,,遗传定位、克隆与抗源部署
38450091,2024,Journal of pesticide science,"Insecticidal activity against rice pest of oxazosulfyl, a novel sulfyl insecticide.",3,BPH;SBPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
38015011,2024,Pest management science,Pyramiding BPH genes in rice maintains resistance against the brown planthopper under climate change.,3,BPH,Bph18;Bph2;Bph9,遗传定位、克隆与抗源部署
38911334,2024,Molecular breeding : new strategies in plant improvement,"Identification and candidate analysis of a new brown planthopper resistance locus in an Indian landrace of rice, paedai kalibungga.",3,BPH,Bph39,遗传定位、克隆与抗源部署
38392507,2024,Insects,"Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing.",3,BPH,,次生代谢与挥发性防御;韧皮部取食界面与结构防御
38601688,2024,Heliyon,Roles of herbivorous insects salivary proteins.,3,BPH;SBPH,OsRLCK185,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
38565704,2024,Planta,Rice physical defenses and their role against insect herbivores.,3,BPH,,次生代谢与挥发性防御;韧皮部取食界面与结构防御
39397365,2024,Plant communications,Breeding herbicide-resistant rice using CRISPR-Cas gene editing and other technologies.,2,BPH,Bph9;Bph14;OsLecRK1,遗传定位、克隆与抗源部署
38535360,2024,Insects,Heterosis for Resistance to Insect Herbivores in a 3-Line Hybrid Rice System.,2,BPH,Bph1;Bph18;Bph2;Bph25;Bph26;Bph4,
38554053,2024,Pest management science,Discovery and biological characterization of a novel mesoionic insecticide fenmezoditiaz.,2,BPH;SBPH,,
38332248,2024,The New phytologist,Brown planthopper infestation on rice reduces plant susceptibility to Meloidogyne graminicola by reducing root sugar allocation.,2,BPH,Bph17;Bph3,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39365503,2024,Molecular biology reports,Breeding for brown plant hopper resistance in rice: recent updates and future perspectives.,2,BPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
39796027,2024,International journal of molecular sciences,"A Cytosolic Phosphoglucose Isomerase, OsPGI1c, Enhances Plant Growth and Herbivore Resistance in Rice.",2,BPH,OsPGI1c,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39590459,2024,Insects,Functional Analysis of CPSF30 in Nilaparvata lugens Using RNA Interference Reveals Its Essential Role in Development and Survival.,2,BPH,,宿主免疫、肽信号与昆虫效应子
39769594,2024,Insects,Comparative Transcriptome Analysis Highlights the Role of NlABCG14 in the Honeydew Production of Virulent Brown Planthoppers (Nilaparvata lugens Stål) to Resistant Rice Variety.,2,BPH,Bph15,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
39452319,2024,Insects,RNAseq-Based Carboxylesterase Nl-EST1 Gene Expression Plasticity Identification and Its Potential Involvement in Fenobucarb Resistance in the Brown Planthopper Nilaparvata lugens.,2,BPH,Bph15;Bph19;Bph80,生长防御权衡与农艺环境
39594043,2024,"Foods (Basel, Switzerland)",Development of Whole-Grain Rice Lines Exhibiting Low and Intermediate Glycemic Index with Decreased Amylose Content.,2,BPH,,生长防御权衡与农艺环境
38791444,2024,,,2,BPH,,遗传定位、克隆与抗源部署
39724382,2024,Plant cell reports,OsMYB1 antagonizes OsSPL14 to mediate rice resistance to brown planthopper and Xanthomonas oryzae pv. oryzae.,1,BPH,OsMYB1;OsSPL14,
38488805,2024,Plant biotechnology journal,Development of a transgenic rice line with strong and broad resistance against four devastating rice viruses through expressing a single hairpin RNA construct.,1,BPH;SBPH;WBPH,,病毒-媒介-水稻三方互作
37334667,2024,Insect science,The evolution and functional divergence of 10 Apolipoprotein D-like genes in Nilaparvata lugens.,1,BPH,,
38791179,2024,International journal of molecular sciences,"PTTH-Torso Signaling System Controls Developmental Timing, Body Size, and Reproduction through Regulating Ecdysone Homeostasis in the Brown Planthopper, Nilaparvata lugens.",1,BPH,,
38430431,2024,"Rice (New York, N.Y.)",Biofortified Rice Provides Rich Sakuranetin in Endosperm.,1,BPH,,激素、氧化还原与信号调控
37888855,2024,Pest management science,The immune response mechanism of Nilaparvata lugens against a combined infection of rice ragged stunt virus and Metarhizium anisopliae.,1,BPH,,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作
39477626,2024,Pesticide biochemistry and physiology,"Area-wide survey and monitoring of insecticide resistance in the brown planthopper, Nilaparvata lugens (Stål), from 2020 to 2023 in China.",1,BPH,,生长防御权衡与农艺环境
39432737,2024,The Plant journal : for cell and molecular biology,Jasmonate-mediated polyamine oxidase 6 drives herbivore-induced polyamine catabolism in rice.,1,BPH,OsPAO6,激素、氧化还原与信号调控
39145425,2024,Plant biotechnology journal,Loss-of-function of LIGULELESS1 activates the jasmonate pathway and promotes maize resistance to corn leaf aphids.,1,BPH,,激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
39254868,2024,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Current status of molecular rice breeding for durable and broad-spectrum resistance to major diseases and insect pests.,1,BPH,,遗传定位、克隆与抗源部署
38961963,2024,Heliyon,Effective multidimensional treatment identification of different chemical fertilizers: Response of insect dynamics and rice production.,1,BPH,,生长防御权衡与农艺环境
39477594,2024,Pesticide biochemistry and physiology,RNAi-mediated silencing of NlGRP3 augments the insecticidal virulence of Metarhizium anisopliae to the brown planthopper Nilaparvata lugens.,1,BPH,,宿主免疫、肽信号与昆虫效应子
38701348,2024,The Plant cell,GROWTH REGULATING FACTOR 7-mediated arbutin metabolism enhances rice salt tolerance.,1,BPH,OsGRF6;OsGRF7;OsGRF8;OsGRF9,次生代谢与挥发性防御
39336620,2024,Insects,Virulence Adaptation by Rice Planthoppers and Leafhoppers to Resistance Genes and Loci: A Review.,1,,Bph1;Bph2;Bph3;Bph4,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署
39062703,2024,Genes,Examination of the Expression Profile of Resistance Genes in Yuanjiang Common Wild Rice (Oryza rufipogon).,1,,Bph1;Bph10;Bph14;Bph18;Bph2;Bph21;Bph26;Bph7;Bph9,遗传定位、克隆与抗源部署
39640406,2024,Data in brief,Dataset on developing climate-smart transplanted Aus rice variety BRRI dhan98 suitable for partially irrigated ecosystem in Bangladesh.,1,,Bph3;Bph32,遗传定位、克隆与抗源部署
39233440,2024,Plant communications,Exploring and exploiting the rice phytobiome to tackle climate change challenges.,1,BPH,,次生代谢与挥发性防御;韧皮部取食界面与结构防御
38870934,2024,Current biology : CB,Brown planthoppers manipulate rice sugar transporters to benefit their own feeding.,1,BPH,,韧皮部取食界面与结构防御
37569437,2023,International journal of molecular sciences,Recent Advances in Molecular Mechanism and Breeding Utilization of Brown Planthopper Resistance Genes in Rice: An Integrated Review.,63,BPH,Bph14;Bph6;Bph9;Bph1;Bph15;Bph30;Bph3;Bph10;Bph18;Bph2;Bph21;Bph7;Bph37;OsNBR1;Bph32;Bph29;Bph26;OsMYB30;OsPAL6;OsPAL8,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38069282,2023,International journal of molecular sciences,Recent Advances in the Genetic and Biochemical Mechanisms of Rice Resistance to Brown Planthoppers (Nilaparvata lugens Stål).,48,BPH,Bph14;Bph9;Bph30;Bph15;OsERF3;Bph37;Bph40;Bph32;Bph6;OsWRKY45;OsWRKY46;OsWRKY72;OsMYB30;OsPAL6;OsPAL8;OsMAPK20-5;OsF3H;OsGRF8;OsmiR396;OsmiR156,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37623248,2023,Current issues in molecular biology,Unveiling Nilaparvata lugens Stål Genes Defining Compatible and Incompatible Interactions with Rice through Transcriptome Analysis and Gene Silencing.,40,BPH,Bph1;Bph2;Bph13;Bph18;Bph31;Bph4;Bph6;Bph7;Bph14,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36675314,2023,International journal of molecular sciences,The Bph45 Gene Confers Resistance against Brown Planthopper in Rice by Reducing the Production of Limonene.,27,BPH,Bph45;Bph17;Bph18;Bph20;Bph9;Bph34;Bph1;Bph2;Bph3;Bph4;Bph14;Bph27;Bph6,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
38023936,2023,Frontiers in plant science,Knockout of OsWRKY71 impairs Bph15-mediated resistance against brown planthopper in rice.,26,BPH;SBPH,Bph15;OsWRKY71;OsWRKY45;OsSTPS2;OsWRKY62;Bph14;OsWRKY46;OsWRKY72;Bph3,次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
36952539,2023,Plant biotechnology journal,"Poaceae-specific β-1,3;1,4-d-glucans link jasmonate signalling to OsLecRK1-mediated defence response during rice-brown planthopper interactions.",25,BPH;WBPH,OsLecRK1-mediated;OsCslF6;OsLecRK1;OsLecRK1-independent;OsLecRK3;Bph30;OsARID1;OsARID6;OsLecRK1-HA;OsLecRKs;Bph14;Bph26;Bph3;Bph6;Bph9;OsMYB30;OsMYB30-OsPAL-SA;OsPAL6;OsPAL8;OsARID,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37372105,2023,Biology,Infestation by the Piercing-Sucking Herbivore Nilaparvata lugens Systemically Triggers JA- and SA-Dependent Defense Responses in Rice.,25,BPH;WBPH,OsPR1a;OsPR10a;OsWRKY62;OsHI-LOX;OsWRKY45;OsVSP;OsPR3,激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
38078088,2023,Frontiers in plant science,The roles of small RNAs in rice-brown planthopper interactions.,23,BPH,Osa-miR162a;Bph6;Bph15;Osa-miR156;Osa-miR162a-m1;Osa-miR5795,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37636116,2023,Frontiers in plant science,Estimating insect pest density using the physiological index of crop leaf.,23,BPH,Osaka,生长防御权衡与农艺环境
37762286,2023,International journal of molecular sciences,Expression Analysis Reveals Differentially Expressed Genes in BPH and WBPH Associated with Resistance in Rice RILs Derived from a Cross between RP2068 and TN1.,23,BPH;WBPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
37316670,2023,Nature,A tripartite rheostat controls self-regulated host plant resistance to insects.,23,BPH,Bph14;OsNBR1;OsRLCK185;Osrlck185;Osnbr1;OsATG8A-BD;OsATG8B-BD;OsATG8C-BD;OsATG8E-BD;OsATG8a;OsATG8b;OsATG8c;OsATG8e;OsNBR1-BD,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
37404541,2023,Frontiers in plant science,Single-Cell RNA sequencing of leaf sheath cells reveals the mechanism of rice resistance to brown planthopper (Nilaparvata lugens).,22,BPH,Bph1,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38003009,2023,Genes,Identification and Functional Characterization of Two Major Loci Associated with Resistance against Brown Planthoppers (Nilaparvata lugens (Stål)) Derived from Oryza nivara.,21,BPH,Bph39;Bph40;Bph17;OsRLK-1;OsRLK-2;OsRLK-3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37402009,2023,"Rice (New York, N.Y.)",OsmiR159 Modulate BPH Resistance Through Regulating G-Protein γ Subunit GS3 Gene in Rice.,20,BPH,OsmiR159;OsmiR159-OsGAMYBL2-GS3;OsMIR159;Bph3;Bph6;OsEXO70E1;OsmiR159d;OsmiR159-G;OsmiR159-OsGAMYBL2;OsGAMYBL2,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37480003,2023,BMC plant biology,Comprehensive transcriptomic analysis of three varieties with different brown planthopper-resistance identifies leaf sheath lncRNAs in rice.,19,BPH,OsmiR156;OsmiR396;OsR498G0408806900.01,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37636117,2023,Frontiers in plant science,Comprehensive identification and characterization of lncRNAs and circRNAs reveal potential brown planthopper-responsive ceRNA networks in rice.,19,BPH,Bph6;Bph6G;OsmiR396f-3p-OsWRKY59,遗传定位、克隆与抗源部署
37615020,2023,Frontiers in plant science,Transcriptome analysis revealed differentially expressed genes in rice functionally associated with brown planthopper defense in near isogenic lines pyramiding BPH14 and BPH15.,17,BPH,Bph14;Bph15;OsPOX8.1;Bph1;Bph6;Bph10;Bph18;Bph2;Bph21;Bph26;Bph29;Bph3;Bph30;Bph32;Bph37;Bph40;Bph7;Bph9,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
37240102,2023,International journal of molecular sciences,"The Fall Armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae), Influences Nilaparvata lugens Population Growth Directly, by Preying on Its Eggs, and Indirectly, by Inducing Defenses in Rice.",17,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
38106508,2023,Breeding science,Development and characterization of near-isogenic lines for brown planthopper resistance genes in the genetic background of japonica rice 'Sagabiyori'.,15,BPH,Bph3;Bph1;Bph17;Bph10;Bph32;Bph9;Bph45;Bph12;Bph14;Bph15;Bph18;Bph20;Bph21;Bph25;Bph26;Bph30;Bph4;Bph6;Bph2;Bph8,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
36874914,2023,Frontiers in plant science,Comparative transcriptome-wide identification and differential expression of genes and lncRNAs in rice near-isogenic line (KW-Bph36-NIL) in response to BPH feeding.,15,BPH,Bph36,激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
37445669,2023,International journal of molecular sciences,"Effect of Paclobutrazol Application on Enhancing the Efficacy of Nitenpyram against the Brown Planthopper, Nilaparvata lugens.",14,BPH,OsSLR1,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;韧皮部取食界面与结构防御
37731986,2023,Frontiers in plant science,Available cloned genes and markers for genetic improvement of biotic stress resistance in rice.,14,BPH;SBPH;WBPH,Bph14;Bph17;OsLecRK1-OsLecRK3;Bph29;Bph38;Bph30;Bph18;Bph26;Bph12;Bph13;Bph15;Bph6,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
38327650,2023,Current genomics,Epigenetic Diversity Underlying Seasonal and Annual Variations in Brown Planthopper (BPH) Populations as Revealed by Methylation- sensitive Restriction Assay.,13,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37256931,2023,Proceedings of the National Academy of Sciences of the United States of America,Sakuranetin protects rice from brown planthopper attack by depleting its beneficial endosymbionts.,13,BPH,,次生代谢与挥发性防御;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
37834016,2023,International journal of molecular sciences,Knocking Out OsRLK7-1 Impairs Rice Growth and Development but Enhances Its Resistance to Planthoppers.,13,BPH;WBPH,OsRLK7-1;OsLRR-RLK2;OsMPK6;OsAOC;OsMYC2;OsOPR7;OsRLK7-1-knockout,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境
37239430,2023,Genes,"Stacking Multiple Genes Improves Resistance to Chilo suppressalis, Magnaporthe oryzae, and Nilaparvata lugens in Transgenic Rice.",8,BPH,Bph29,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
36902211,2023,International journal of molecular sciences,Small Brown Planthopper Nymph Infestation Regulates Plant Defenses by Affecting Secondary Metabolite Biosynthesis in Rice.,7,BPH;SBPH,OsSLR1;OsF3H,次生代谢与挥发性防御;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
37404545,2023,Frontiers in plant science,Advances of herbivore-secreted elicitors and effectors in plant-insect interactions.,7,BPH;WBPH,Bph30;Bph1;Bph10;Bph14;Bph18;Bph2;Bph21;Bph26;Bph7;Bph9;Bph15;Bph29;Bph3;Bph32;Bph37;Bph40;Bph6,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
37260593,2023,Frontiers in physiology,The superoxide dismutase (SOD) genes family mediates the response of Nilaparvata lugens to jinggangmycin and sugar.,6,BPH,,病毒-媒介-水稻三方互作
37499938,2023,Journal of advanced research,Insecticide resistance reduces the profitability of insect-resistant rice cultivars.,6,BPH,Bph2;Bph14;Bph3;Bph1,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
